total_packets,total_bytes,avg_packet_size,avg_inter_arrival,label
36772,35875967,975.632736865006,0.0044437564164015,YouTube
39040,27079311,693.6298924180328,0.0104212541799326,Spotify
57434,43916436,764.6417801302365,0.003151456775831,Zoom
38647,26094024,675.1888633011617,0.0034922394317937,General
28825,23308342,808.6155073720729,0.0038071859140975,General
26317,22805416,866.5659459664855,0.0036248357612359,General
56786,49014453,863.1432571408445,0.0021172261840599,General
15090,11826893,783.7569913850232,0.0155404390654512,Spotify
16841,15748798,935.1462502226708,0.0101194131261096,Spotify
10766,9683858,899.4852312836708,0.0197208057710086,Spotify
11809,9730931,824.026674570243,0.0074970820529997,Spotify
11566,9342540,807.758948642573,0.0072573497704597,YouTube
43060,43052982,999.8370181142592,0.0047776920048662,YouTube
30426,30382841,98.5815092355223,0.0055881146749905,YouTube
35180,34637073,984.5671688459352,0.0068103136531448,YouTube
57666,41535720,720.280928103215,0.0031690931067983,Zoom
39362,19285302,489.94720796707486,0.0037847606544768,Zoom
41234,33874045,821.5076150749381,0.0030977632021472,Zoom
10291,4955741,481.5606840928967,0.0073348774506816,Zoom
92861,67891009,731.1035741592273,0.0046145017460813,Zoom

